,event_time,user_id,instructor_id,duration,price,lesson_type,twocat,threecat,weekday
110218,2020-11-08 06:28:35+00:00,6990,2,3,796.21,0.0,0.0,0.0,Sunday
4180,2019-01-30 02:47:43+00:00,1760,1,0,37.63,1.0,0.0,0.0,Wednesday
95743,2020-08-10 13:49:13+00:00,6448,0,0,47.11,1.0,0.0,0.0,Monday
35996,2019-08-29 16:24:57+00:00,3633,1,2,341.07,0.0,0.0,0.0,Thursday
29856,2019-07-21 17:23:34+00:00,3282,1,0,20.51,0.0,0.0,0.0,Sunday
24181,2019-06-14 17:26:12+00:00,2379,1,2,171.1,1.0,0.0,0.0,Friday
17655,2019-04-26 08:09:42+00:00,2328,2,2,260.14,0.0,0.0,0.0,Friday
101611,2020-09-10 11:01:22+00:00,201,0,2,490.53,0.0,0.0,0.0,Thursday
71968,2020-02-24 14:25:13+00:00,496,0,2,152.36,0.0,0.0,0.0,Monday
47981,2019-11-15 16:09:14+00:00,2454,1,2,132.51,1.0,0.0,0.0,Friday
58556,2019-12-24 18:18:35+00:00,4444,0,4,1058.08,1.0,0.0,0.0,Tuesday
9854,2019-03-01 05:04:52+00:00,1456,1,2,137.97,0.0,0.0,0.0,Friday
60688,2019-12-30 20:56:17+00:00,4153,0,1,77.95,0.0,0.0,0.0,Monday
78517,2020-03-23 13:56:31+00:00,1205,1,2,391.05,1.0,0.0,1.0,Monday
110123,2020-11-07 06:56:23+00:00,5872,1,3,572.96,1.0,0.0,0.0,Saturday
61715,2020-01-06 17:47:07+00:00,4900,0,1,84.71,1.0,0.0,0.0,Monday
78676,2020-03-24 12:19:28+00:00,1045,0,4,4163.67,0.0,0.0,1.0,Tuesday
50252,2019-11-25 15:00:52+00:00,4325,0,2,493.01,0.0,0.0,0.0,Monday
70299,2020-02-15 12:38:03+00:00,841,1,2,143.7,0.0,0.0,0.0,Saturday
26781,2019-07-03 08:31:05+00:00,3131,0,2,123.15,0.0,0.0,1.0,Wednesday
37349,2019-09-09 08:45:16+00:00,3710,2,1,73.84,1.0,0.0,0.0,Monday
46448,2019-11-08 10:13:05+00:00,4192,1,3,709.55,1.0,0.0,2.0,Friday
64822,2020-01-23 16:02:46+00:00,373,0,2,254.26,1.0,0.0,0.0,Thursday
89871,2020-07-09 12:00:07+00:00,1155,0,2,186.12,0.0,0.0,0.0,Thursday
28640,2019-07-14 22:12:00+00:00,3227,1,2,219.04,0.0,0.0,0.0,Sunday
70920,2020-02-18 09:07:07+00:00,5297,3,4,1102.05,0.0,0.0,1.0,Tuesday
93783,2020-08-01 14:55:38+00:00,4366,1,2,288.89,0.0,0.0,0.0,Saturday
23330,2019-06-08 11:39:16+00:00,2712,1,2,236.85,0.0,0.0,0.0,Saturday
36543,2019-09-02 20:02:16+00:00,58,1,2,253.29,1.0,0.0,0.0,Monday
90467,2020-07-14 15:58:02+00:00,5069,0,2,494.15,0.0,0.0,0.0,Tuesday
10596,2019-03-04 11:24:08+00:00,2219,1,2,195.75,1.0,0.0,1.0,Monday
80305,2020-04-10 08:13:11+00:00,4298,1,2,121.9,1.0,0.0,0.0,Friday
30832,2019-07-27 20:18:19+00:00,27,0,1,76.58,1.0,0.0,0.0,Saturday
101778,2020-09-11 08:57:06+00:00,6649,1,2,267.1,1.0,0.0,0.0,Friday
86406,2020-06-07 11:42:03+00:00,261,0,2,339.01,0.0,0.0,0.0,Sunday
95591,2020-08-09 17:36:06+00:00,4708,0,3,599.07,1.0,0.0,0.0,Sunday
16548,2019-04-18 07:25:51+00:00,2535,1,0,46.19,0.0,0.0,0.0,Thursday
58742,2019-12-25 09:30:36+00:00,3349,0,2,150.55,0.0,0.0,0.0,Wednesday
38254,2019-09-16 16:25:17+00:00,3008,0,3,591.11,0.0,0.0,0.0,Monday
15573,2019-04-10 17:00:47+00:00,1810,1,2,221.47,1.0,0.0,3.0,Wednesday
102899,2020-09-18 10:53:31+00:00,6623,1,2,206.71,0.0,0.0,0.0,Friday
34382,2019-08-20 09:52:24+00:00,2220,1,2,103.11,1.0,0.0,0.0,Tuesday
13273,2019-03-18 07:10:44+00:00,2061,1,2,123.15,1.0,0.0,0.0,Monday
23543,2019-06-10 07:51:20+00:00,1374,1,2,109.45,0.0,0.0,0.0,Monday
103607,2020-09-23 06:15:31+00:00,6720,0,2,328.63,1.0,0.0,0.0,Wednesday
45769,2019-11-02 20:07:00+00:00,831,0,2,109.45,0.0,0.0,0.0,Saturday
14033,2019-03-29 07:08:30+00:00,2302,1,2,146.47,1.0,0.0,0.0,Friday
16049,2019-04-14 12:10:32+00:00,689,1,2,203.01,0.0,0.0,0.0,Sunday
112078,2020-11-21 13:58:53+00:00,7047,1,2,205.37,1.0,0.0,3.0,Saturday
39141,2019-09-24 07:04:29+00:00,3822,1,2,280.68,1.0,0.0,1.0,Tuesday
59582,2019-12-27 20:22:16+00:00,388,1,2,182.85,1.0,0.0,0.0,Friday
7586,2019-02-16 08:02:56+00:00,1968,0,0,6.71,1.0,1.0,3.0,Saturday
104296,2020-09-26 17:43:00+00:00,5524,1,2,131.37,1.0,0.0,0.0,Saturday
20698,2019-05-21 14:31:53+00:00,2493,0,2,308.18,0.0,0.0,0.0,Tuesday
45256,2019-10-30 17:13:06+00:00,3127,1,2,171.1,1.0,0.0,1.0,Wednesday
110768,2020-11-11 21:10:49+00:00,3696,1,2,243.45,0.0,0.0,0.0,Wednesday
36340,2019-09-01 09:45:30+00:00,2426,0,0,22.41,0.0,0.0,1.0,Sunday
18203,2019-05-01 12:24:46+00:00,1298,1,2,203.01,0.0,0.0,0.0,Wednesday
45698,2019-11-02 09:38:19+00:00,2018,1,2,127.26,1.0,0.0,0.0,Saturday
7115,2019-02-13 13:55:46+00:00,1365,0,1,65.37,0.0,0.0,0.0,Wednesday
56990,2019-12-19 14:16:49+00:00,4470,0,1,57.4,0.0,0.0,0.0,Thursday
71228,2020-02-20 08:21:19+00:00,4024,1,2,139.7,1.0,0.0,0.0,Thursday
101698,2020-09-10 17:40:20+00:00,4417,1,2,305.75,1.0,0.0,0.0,Thursday
41624,2019-10-11 09:28:52+00:00,1863,1,3,725.32,1.0,0.0,2.0,Friday
93167,2020-07-30 09:03:58+00:00,3146,1,3,650.55,1.0,0.0,2.0,Thursday
87361,2020-06-15 17:29:01+00:00,389,0,3,881.48,0.0,0.0,0.0,Monday
