,event_time,user_id,instructor_id,duration,price,lesson_type,twocat,threecat,weekday
71337,2020-02-20 14:23:38+00:00,5258,1,1,95.75,0.0,0.0,0.0,Thursday
93761,2020-08-01 14:13:20+00:00,3583,1,3,631.82,1.0,0.0,1.0,Saturday
102335,2020-09-14 17:20:53+00:00,3734,0,2,212.19,0.0,0.0,0.0,Monday
109743,2020-11-04 17:38:15+00:00,6886,1,2,179.63,1.0,0.0,0.0,Wednesday
4145,2019-01-29 17:45:02+00:00,1805,0,2,137.64,1.0,0.0,0.0,Tuesday
15642,2019-04-11 12:56:38+00:00,1035,0,3,924.0,0.0,0.0,0.0,Thursday
7975,2019-02-18 07:37:38+00:00,2002,1,2,203.01,0.0,0.0,0.0,Monday
78755,2020-03-24 19:37:43+00:00,4909,1,2,203.59,1.0,0.0,0.0,Tuesday
55270,2019-12-13 12:00:04+00:00,4389,0,2,336.96,0.0,0.0,1.0,Friday
38997,2019-09-23 00:47:10+00:00,3720,1,2,102.6,1.0,0.0,0.0,Monday
77090,2020-03-15 12:18:18+00:00,5541,1,2,109.45,0.0,0.0,0.0,Sunday
99075,2020-08-27 04:34:12+00:00,5829,1,3,724.29,1.0,0.0,0.0,Thursday
112606,2020-11-25 18:41:19+00:00,7044,1,3,691.41,1.0,0.0,2.0,Wednesday
55636,2019-12-14 20:45:27+00:00,3427,0,0,6.71,1.0,1.0,3.0,Saturday
2793,2019-01-23 12:33:59+00:00,1358,1,2,239.59,1.0,0.0,0.0,Wednesday
40782,2019-10-07 17:27:35+00:00,3717,0,3,657.51,0.0,0.0,0.0,Monday
85619,2020-06-01 11:13:21+00:00,6016,0,1,77.63,0.0,0.0,0.0,Monday
65057,2020-01-24 12:08:37+00:00,2692,0,3,914.36,0.0,0.0,1.0,Friday
58538,2019-12-24 17:07:21+00:00,4683,1,2,107.84,0.0,0.0,1.0,Tuesday
58387,2019-12-24 09:28:49+00:00,3125,1,2,239.59,1.0,0.0,0.0,Tuesday
53707,2019-12-05 07:11:33+00:00,4454,0,0,6.71,1.0,1.0,3.0,Thursday
49571,2019-11-22 13:25:13+00:00,4121,0,2,324.63,1.0,0.0,0.0,Friday
28752,2019-07-15 16:34:36+00:00,789,1,3,799.29,1.0,0.0,0.0,Monday
54656,2019-12-11 04:30:45+00:00,2855,1,2,203.01,0.0,0.0,0.0,Wednesday
26387,2019-06-30 15:54:03+00:00,711,0,4,1611.7,1.0,0.0,0.0,Sunday
56544,2019-12-18 07:25:31+00:00,1824,0,1,99.62,1.0,0.0,0.0,Wednesday
61199,2020-01-03 15:31:47+00:00,4743,1,2,336.96,1.0,0.0,0.0,Friday
90472,2020-07-14 16:45:08+00:00,510,0,1,62.97,0.0,0.0,0.0,Tuesday
15789,2019-04-12 13:39:04+00:00,1816,0,2,260.93,0.0,0.0,1.0,Friday
81467,2020-04-20 11:30:42+00:00,5786,1,2,107.84,0.0,0.0,1.0,Monday
48447,2019-11-17 21:23:42+00:00,4220,0,2,136.85,0.0,0.0,1.0,Sunday
3961,2019-01-28 22:05:47+00:00,1281,0,1,52.7,0.0,0.0,0.0,Monday
91340,2020-07-20 10:05:06+00:00,5381,1,1,82.05,1.0,0.0,0.0,Monday
63862,2020-01-21 11:42:49+00:00,4977,29,4,2815.75,0.0,0.0,2.0,Tuesday
38719,2019-09-20 15:00:40+00:00,104,1,2,321.78,1.0,0.0,0.0,Friday
30315,2019-07-24 13:42:44+00:00,759,0,3,794.38,0.0,0.0,0.0,Wednesday
65279,2020-01-25 07:32:23+00:00,4126,1,2,417.67,1.0,0.0,0.0,Saturday
58841,2019-12-25 14:58:07+00:00,1355,29,3,704.79,0.0,0.0,2.0,Wednesday
25832,2019-06-26 16:30:34+00:00,3065,1,2,340.04,1.0,0.0,0.0,Wednesday
19125,2019-05-10 10:05:14+00:00,2672,27,1,66.75,0.0,0.0,0.0,Friday
97978,2020-08-20 20:04:41+00:00,6464,1,2,322.58,1.0,0.0,0.0,Thursday
68019,2020-02-07 09:48:43+00:00,5142,0,0,38.59,0.0,0.0,0.0,Friday
39511,2019-09-26 14:16:51+00:00,745,1,2,107.66,1.0,0.0,0.0,Thursday
112545,2020-11-25 10:28:05+00:00,1143,1,1,95.85,1.0,0.0,0.0,Wednesday
80567,2020-04-12 13:00:18+00:00,5697,1,1,75.21,1.0,0.0,0.0,Sunday
89318,2020-07-03 12:44:28+00:00,6177,0,2,186.16,0.0,0.0,0.0,Friday
56446,2019-12-17 17:11:53+00:00,2011,1,2,152.42,1.0,0.0,1.0,Tuesday
79760,2020-04-04 14:17:50+00:00,5680,1,2,129.75,0.0,0.0,0.0,Saturday
36160,2019-08-30 17:49:15+00:00,3384,0,3,501.52,1.0,0.0,0.0,Friday
48684,2019-11-19 04:57:11+00:00,4228,27,2,374.97,0.0,0.0,0.0,Tuesday
21711,2019-05-28 06:40:23+00:00,2822,0,2,276.34,0.0,0.0,0.0,Tuesday
33154,2019-08-11 17:53:49+00:00,3450,1,2,384.55,0.0,0.0,0.0,Sunday
